name,website,address,city,state,phone,reviews,rating,logo,query:,email
Life Skills Recovery Ranch,#," 9431 N 400 W, Holden, UT 84636",Millard County, Utah,(435) 795-2626,2,3.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Utah,
Odyssey House Parent with Children Inpatient,https://www.odysseyhouse.org/services/mother-with-children-residential," 42 500 E #1002, Salt Lake City, UT 84102",Salt Lake City, Utah,(801) 322-3222,2,3.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Utah,
Sober Living Properties,https://soberlivingproperties.com/," 6771 S 900 E Suite 100, Midvale, UT 84047",Midvale, Utah,(866) 543-5235,1,1.0,https://lh6.googleusercontent.com/-QzqKqiuMpsY/AAAAAAAAAAI/AAAAAAAAAAA/OEMr72gtcg8/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Utah,
Balance House,https://balancehouse.com/," 5170 Highland Dr., Holladay, UT 84117",Holladay, Utah,(801) 851-5260,25,4.5,https://lh3.googleusercontent.com/-L0a6wFVpEq0/AAAAAAAAAAI/AAAAAAAAAAA/wP-ZuhakVIA/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Utah,
Court Supportive Services,#," 806 S 1040 W, Payson, UT 84651",Payson, Utah,(801) 465-4460,1,1.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Utah,
Men's Tribal House,http://menstribalhouse.org/," 7046 S 700 E A, Midvale, UT 84047",Midvale, Utah,(385) 382-0211,18,5.0,https://lh5.googleusercontent.com/-LPV8042MWac/AAAAAAAAAAI/AAAAAAAAAAA/I7iA0MrFrJc/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Utah,
New Roads Behavioral Health,https://www.newroadstreatment.org/," 2450 Fort Union Blvd, Cottonwood Heights, UT 84121",Cottonwood Heights, Utah,(801) 669-5888,175,4.4,https://lh3.googleusercontent.com/-4kostTOgaos/AAAAAAAAAAI/AAAAAAAAAAA/yqVB1u6c3sk/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Utah,
Utah Addiction Centers,https://utahaddictioncenters.com/contact-us.html," 2590 Prairie View Dr, Eagle Mountain, UT 84005",Eagle Mountain, Utah,(801) 634-8938,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Utah,
Naturo Drug Rehab Murray - Alcohol Rehab Advisory,#," 4880-4886 State St, Murray, UT 84107",Murray, Utah,(801) 845-9253,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Utah,
Maple Mountain Recovery,https://maplemountainrecovery.com/," 1422 E 155 S, Lindon, UT 84042",Lindon, Utah,(801) 499-9316,Not Available,Not Available,https://lh4.googleusercontent.com/-1SJ_dlW4wV8/AAAAAAAAAAI/AAAAAAAAAAA/1nnyDg6I3iA/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Utah,
Sober Living Properties Holladay,#," 4688 Namba Way, Millcreek, UT 84106",Millcreek, Utah,(801) 477-6237,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Utah,
"Ethereal Drug, Detox & Rehab Center Layton UT",https://drug-rehab-and-alcohol-detox-layton-ut.business.site/?utm_source=gmb&utm_medium=referral," 840 W 3000 N #21, Layton, UT 84041",Layton, Utah,(385) 263-0542,2,5.0,https://lh5.googleusercontent.com/-1sn0R7e6Qnc/AAAAAAAAAAI/AAAAAAAAAAA/xS-f9cpPRE4/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Utah,
Legacy Outdoor Adventures,https://legacyoutdooradventures.com/," 1764 N Aspen Ln, Loa, UT 84747",Wayne County, Utah,(866) 436-4458,17,4.6,https://lh6.googleusercontent.com/--6DU_AXwlkE/AAAAAAAAAAI/AAAAAAAAAAA/pRiL2POFrVI/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Utah,
Red Pine Residential Treatment,http://www.utetribe.com/departments/red-pine-treatment-center.html," Box 309 550 S 6777 E, Fort Duchesne, UT 84026",Fort Duchesne, Utah,(435) 722-9906,1,5.0,https://lh3.googleusercontent.com/-L70aZEcy_UA/AAAAAAAAAAI/AAAAAAAAAAA/Ox6AqEDUZBk/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Utah,
MGA Crisis Intervention,http://mariongatleyassociation.com/our-locations/utah/intervention-drug-rehab-association-1361-north-1075-west-farmington-ut-84025/," 1361 N 1075 W #109, Farmington, UT 84025",Farmington, Utah,(385) 218-0425,5,5.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Utah,
MGA Crisis Intervention,http://mariongatleyassociation.com/our-locations/utah/intervention-drug-rehab-association-9829-south-1300-east-sandy-ut-84094/," 9829 S 1300 E #207, Sandy, UT 84094",Sandy, Utah,(385) 275-6565,1,5.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Utah,
Changes Counseling,http://changescounseling.org/," 8221 S 700 E, Sandy, UT 84070",Sandy, Utah,(801) 542-7060,26,4.1,https://lh6.googleusercontent.com/-WMS8qlkvKEI/AAAAAAAAAAI/AAAAAAAAAAA/UB6Xzuy603A/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Utah,
MGA Crisis Intervention,http://mariongatleyassociation.com/our-locations/utah/intervention-drug-rehab-association-1712-south-east-bay-blvd-provo-ut-84606/," 1712 S E Bay Blvd #226, Provo, UT 84606",Provo, Utah,(385) 244-4017,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Utah,
"Revivify Alcohol Detox West Valley City, UT",https://drug-rehab-alcohol-detox-revivify-west-valley-city-ut.business.site/?utm_source=gmb&utm_medium=referral," 3568 S Redwood Rd, West Valley City, UT 84119",West Valley City, Utah,(385) 263-0632,2,5.0,https://lh5.googleusercontent.com/-VqM2xyqCp7M/AAAAAAAAAAI/AAAAAAAAAAA/p15K5vZ6aIQ/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Utah,
Envision Recovery Services,#," 2435 Spencer Crest Dr, Bluffdale, UT 84065",Bluffdale, Utah,(844) 252-1800,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Utah,
Painted Desert Recovery,https://www.painteddesertrecovery.com/," 1947 2800 E, New Harmony, UT 84757",Washington County, Utah,(844) 540-0357,Not Available,Not Available,https://lh5.googleusercontent.com/-UNuYFTWLawg/AAAAAAAAAAI/AAAAAAAAAAA/cQ1GoV3p5Vw/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Utah,
Red Willow Counseling and Recovery,http://www.redwillowcounseling.com/," 1425 700 E Suite #102, Salt Lake City, UT 84105",Salt Lake City, Utah,(385) 313-0055,15,3.7,https://lh4.googleusercontent.com/-eSPLBmzwqz0/AAAAAAAAAAI/AAAAAAAAAAA/lB9EOadxXNo/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Utah,
Capstone Counseling Centers,http://www.capstonecounselingcenters.com/," 357 S 200 E, Salt Lake City, UT 84111",Salt Lake City, Utah,(801) 341-0411,36,4.7,https://lh3.googleusercontent.com/a-/AOh14GgJwXx7fhq7J2Tjvx--40FzWbFI7QQRp-h72gIe9w=s40-c-rp-br100,drug rehab in Utah,
Recovery Counseling Center,#," 219 W 500 N, Brigham City, UT 84302",Brigham City, Utah,(435) 723-1196,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Utah,
Northpointe Recovery,http://northpointerecovery.com/," 1664 S Dixie Dr STE E-102, St. George, UT 84770",St. George, Utah,(435) 557-5166,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Utah,
Court Supportive Services,#," 1172 E 100 N #8, Payson, UT 84651",Payson, Utah,(855) 277-8824,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Utah,
SouthJordanDRUGREHAB UT - Drug Therapy Specialists,#," South Jordan, UT 84095",South Jordan, Utah,(385) 213-2912,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Utah,
Sober Living Properties Mid-Valley,https://soberlivingproperties.com/," 395 E 8000 S, Sandy, UT 84070",Midvale, Utah,(866) 559-8385,Not Available,Not Available,https://lh6.googleusercontent.com/-ZuhQ04BBRho/AAAAAAAAAAI/AAAAAAAAAAA/tNDxzql4yic/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Utah,
Capstone Counseling Centers,http://www.capstonecounselingcenters.com/," 555 State St #204, Orem, UT 84058",Orem, Utah,(801) 341-0411,8,4.4,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Utah,
Renaissance Ranch Orem Women's Outpatient Treatment,http://www.renaissanceoutpatient.com/," 487 W 1400 N St, Orem, UT 84057",Orem, Utah,(801) 308-8898,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Utah,
Sober Living Advocates & New Thinking SLANT,#," 751 S 300 E, Salt Lake City, UT 84111",Salt Lake City, Utah,(801) 949-3160,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Utah,
"Empathy for Life Opioid Rehab Midvale, UT",https://drug-rehab-alcohol-detox-empathy-for-life-midvale-ut.business.site/?utm_source=gmb&utm_medium=referral," 6810 S 300 W, Midvale, UT 84047",Midvale, Utah,(385) 200-9065,6,5.0,https://lh4.googleusercontent.com/-BkHSJbZnzb0/AAAAAAAAAAI/AAAAAAAAAAA/4C_PSHBPq_A/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Utah,
Intermountain Dayspring Treatment and Recovery - Cottonwood,https://intermountainhealthcare.org/locations/location-details/tosh/cottonwood-medical-clinic/intermountain-dayspring-treatment-and-recovery-cottonwood/?utm_campaign=gmb&utm_medium=organic&utm_source=local," 250 E 5770 S #300, Murray, UT 84107",Murray, Utah,(801) 314-2600,3,4.3,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Utah,
Utah Sober Living Home,https://utahsoberhome.com/," 139 E 800 S, Orem, UT 84058",Orem, Utah,(801) 400-8737,1,5.0,https://lh5.googleusercontent.com/-rTN0w_UITJ0/AAAAAAAAAAI/AAAAAAAAAAA/c4ySaj33jM8/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Utah,
Mountain Valley Recovery,https://mountainvalleyrecovery.com/," 6910 N Cowboy Lane, Holden, UT 84636",Holden, Utah,(435) 253-0656,5,4.2,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Utah,
Ogden Regional Alcohol and Chemical Treatment Center (ACT),https://mountainstar.com/specialties/substance-abuse/?location=ogden-regional-medical-center," 5475 S 375 E, Ogden, UT 84405",South Weber, Utah,(801) 479-2250,7,4.9,https://lh5.googleusercontent.com/-Z9-97x3grJ0/AAAAAAAAAAI/AAAAAAAAAAA/oy7LFMqsoqs/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Utah,
A.V.Y Counseling Services,http://www.avycs.com/," At the Foundation House, 165 1330 W Suite A-1, Orem, UT 84057",Orem, Utah,(801) 960-3040,20,3.2,https://lh6.googleusercontent.com/-W2ajimmEBs0/AAAAAAAAAAI/AAAAAAAAAAA/7GKyuB0vSsw/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Utah,
GMS Counseling LLC,https://www.gmscounselingllc.com/," 370 S 500 E, Clearfield, UT 84015",Clearfield, Utah,(801) 825-4876,9,4.6,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Utah,
Project Reality,#," 5280 Commerce Dr, Murray, UT 84107",Murray, Utah,Not Available,6,3.5,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Utah,
Blue Hills Residential North,#," 21360 N 1450 E, Moroni, UT 84646",Sanpete County, Utah,(435) 262-1217,1,5.0,https://lh5.googleusercontent.com/-c9X1lMO2LEc/AAAAAAAAAAI/AAAAAAAAAAA/HisG1IXvy9A/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Utah,
Sequoia Counseling Services,http://www.sequoiacounseling.org/," 3378 900 E, Salt Lake City, UT 84106",Millcreek, Utah,(801) 463-7520,14,3.9,https://lh4.googleusercontent.com/-kItuNl3BrIU/AAAAAAAAAAI/AAAAAAAAAAA/EFbbp8TzfW0/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Utah,
Rehabilitation Service,#," 1032 E 100 S, St. George, UT 84770",St. George, Utah,Not Available,3,3.7,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Utah,
Valley Vista,http://www.vvista.net/," 23 Upper Plain, Bradford, VT 05033",Bradford, Vermont,(802) 222-5201,23,3.2,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
UVM Medical Center DayOne - Substance Abuse,https://www.uvmhealth.org/medcenter/Pages/Conditions-and-Treatments/substance-abuse.aspx?utm_source=google&utm_medium=yext&utm_campaign=website_field&utm_term=Day_One_Substance_Abuse&utm_content=Burlington," 1 South Prospect Street St. Joseph, Level 3, Burlington, VT 05401",Burlington, Vermont,(802) 847-3333,Not Available,Not Available,https://lh3.googleusercontent.com/-h8-7Cfbktmk/AAAAAAAAAAI/AAAAAAAAAAA/-Ac_bTMJotM/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Vermont,
Central Vermont Substance Abuse Services,#," 100 Hospitality Dr, Barre, VT 05641",Berlin, Vermont,(802) 223-4156,2,3.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
Serenity House Inc,http://www.recoveryhousevt.org/," 98 Church St, Wallingford, VT 05773",Wallingford, Vermont,(802) 446-2640,10,2.8,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
Valley Vista,https://vvista.net/connect/," 1 Alden Pl, Vergennes, VT 05491",Vergennes, Vermont,(802) 222-5201,8,4.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
Phoenix House Project CRASH,http://www.phoenixhouse.org/locations/vermont/project-crash-at-phoenix-house/," 139 Main St #604, Brattleboro, VT 05301",Brattleboro, Vermont,(888) 671-9392,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
Phoenix House - Men's Sober Living,http://www.phoenixhouse.org/," 37 Elmwood Ave, Burlington, VT 05401",Burlington, Vermont,(888) 671-9392,3,2.7,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
River Rock Treatment,http://www.riverrocktreatment.com/," 125 College St 5th Floor, Burlington, VT 05401",Burlington, Vermont,(888) 308-2624,5,5.0,https://lh6.googleusercontent.com/-GcEBZPVIdeA/AAAAAAAAAAI/AAAAAAAAAAA/jL8__2a6qeE/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Vermont,
West Ridge Center,https://www.rrmc.org/locations/profile/west-ridge-center/," Howe Center, 1 Scale Ave Building 10, Rutland, VT 05701",Rutland City, Vermont,(802) 776-5800,7,1.9,https://lh3.googleusercontent.com/-kFfztSSdKG8/AAAAAAAAAAI/AAAAAAAAAAA/yyNscLD4EQI/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Vermont,
Phoenix House - Women's Sober Living,http://www.phoenixhouse.org/," 178 Linden St, Brattleboro, VT 05301",Brattleboro, Vermont,(888) 671-9392,1,5.0,//lh3.googleusercontent.com/a/AATXAJwSKBGHabo2qbzg0wIPs2uZFcNJoCxB75Tvm531=w32-h32-k-cc,drug rehab in Vermont,
Evergreen Substance Abuse Service,#," 45 Union St, Rutland, VT 05701",Rutland City, Vermont,Not Available,2,5.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
Treatment Associates LLC,http://www.treatmentassociatesinc.com/," 73 Main St # 39, Montpelier, VT 05602",Montpelier, Vermont,(802) 225-8355,3,5.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
Adolescent Substance Abuse Services,#," 78 S Main St, Rutland, VT 05701",Rutland City, Vermont,(802) 773-4225,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
Turning Point Center of Bennington,https://www.tpcbennington.org/," 465 Main St, Bennington, VT 05201",Bennington, Vermont,(802) 442-9700,3,5.0,https://lh4.googleusercontent.com/-jU_ncFJVx9I/AAAAAAAAAAI/AAAAAAAAAAA/AXwSbOyk5ks/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Vermont,
Upper Valley Turning Point,http://secondwindfound.org/," 200 Olcott Dr, White River Junction, VT 05001",Hartford, Vermont,(802) 295-5206,3,4.7,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
Act 1,http://www.howardcenter.org/All-Programs," 184 Pearl St, Burlington, VT 05401",Burlington, Vermont,(802) 488-6425,8,4.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
Howard Center Chittenden Clinic,http://www.howardcenter.org/," 75 San Remo Dr, South Burlington, VT 05403",South Burlington, Vermont,(802) 488-6450,7,3.9,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
Brattleboro Comprehensive Treatment Center,https://www.ctcprograms.com/location/brattleboro-comprehensive-treatment-center/?utm_source=GMB&utm_medium=organic&utm_campaign=listing&utm_term=brand," 16 Town Crier Dr, Brattleboro, VT 05304",Brattleboro, Vermont,(802) 689-8900,15,3.7,https://lh6.googleusercontent.com/-WKgndItMVJ0/AAAAAAAAAAI/AAAAAAAAAAA/PCogSr6Aq4w/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Vermont,
Adult & Teen Challenge Vermont,http://www.tcvermont.org/," 1296 Collins Hill Rd, Johnson, VT 05656",Lamoille County, Vermont,(802) 635-7807,8,3.3,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
North Central Vermont Recovery Center,https://www.ncvrc.com/," 275 Brooklyn St Suite 2, Morrisville, VT 05661",Morristown, Vermont,(802) 851-8120,2,5.0,https://lh4.googleusercontent.com/-IPQcXZhrMjs/AAAAAAAAAAI/AAAAAAAAAAA/N7-4hbuMLtY/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Vermont,
BAART Programs St. Johnsbury,https://baartprograms.com/baart-st-johnsbury/," 1097 Hospital Dr, St Johnsbury, VT 05819",St. Johnsbury, Vermont,(802) 748-6166,9,4.3,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
BAART Programs Newport,https://baartprograms.com/baart-newport/," 475 Union St, Newport, VT 05855",Newport, Vermont,(802) 334-0110,15,4.7,https://lh3.googleusercontent.com/a-/AOh14GivG8bOO0QdTPNMSXNbYHbMe66I8ESyhE8CsEIMNw=s40-c-rp-br100,drug rehab in Vermont,
Howard Center,http://www.howardcenter.org/home," 172 Fairfield St, St Albans City, VT 05478",St. Albans, Vermont,(802) 524-7265,2,3.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
SaVida Health Bennington,https://savidahealth.com/opioid-addiction-treatment-bennington-vt-1/," 655 Main St UNIT 2, Bennington, VT 05201",Bennington, Vermont,(802) 448-5105,12,4.5,https://lh4.googleusercontent.com/-upQJ8hRmUNc/AAAAAAAAAAI/AAAAAAAAAAA/QLI-dq9YCzI/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Vermont,
Phoenix House - Men’s Sober Living,http://www.phoenixhouse.org/," 11 Underhill Ave, Bellows Falls, VT 05101",Rockingham, Vermont,(888) 671-9392,3,2.3,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
Grace House,http://recoveryhousevt.org/," 35 Washington St, Rutland, VT 05701",Rutland City, Vermont,(802) 775-3476,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
Spring Lake Ranch,http://www.springlakeranch.org/," 1169 Spring Lake Rd, Shrewsbury, VT 05738",Shrewsbury, Vermont,(802) 492-3322,14,4.1,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
Turning Point Center of Rutland,https://www.turningpointrutlandvt.org/," 141 State St, Rutland, VT 05701",Rutland City, Vermont,(802) 773-6010,1,5.0,https://lh6.googleusercontent.com/-IctNUOOBzIE/AAAAAAAAAAI/AAAAAAAAAAA/Z0xBhApieXU/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Vermont,
Vermont New Hampshire DOT SAP Services,https://vermontdotsap.com/," 1098 Wild Hill Rd, Fairlee, VT 05045",West Fairlee, Vermont,(802) 331-0067,Not Available,Not Available,https://lh5.googleusercontent.com/-iKLnbf7vj5o/AAAAAAAAAAI/AAAAAAAAAAA/Cl90wSzOISU/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Vermont,
Phoenix House - Men's Sober Living,http://www.phoenixhouse.org/," 435 Western Ave, Brattleboro, VT 05301",Brattleboro, Vermont,(888) 671-9392,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
SaVida Health Newport,https://savidahealth.com/opioid-addiction-treatment-newport-vt-suboxone-doctors/," 79 Coventry St, Newport, VT 05855",Newport, Vermont,(802) 487-0781,7,4.9,https://lh4.googleusercontent.com/-A9_6peydrnk/AAAAAAAAAAI/AAAAAAAAAAA/v4vL1p8abk4/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Vermont,
SaVida Health Springfield,https://savidahealth.com/," 368 River St #160, Springfield, VT 05156",Springfield, Vermont,(802) 231-4486,5,4.6,https://lh5.googleusercontent.com/-JVB-eqmgJlc/AAAAAAAAAAI/AAAAAAAAAAA/r_Zr9CD0Jsk/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Vermont,
BAART Programs St. Albans,https://baartprograms.com/baart-st-albans/," 242 S Main St, St Albans City, VT 05478",St. Albans, Vermont,(802) 370-3545,6,2.2,https://lh6.googleusercontent.com/-sONIlXPKjGw/AAAAAAAAAAI/AAAAAAAAAAA/Tp4YHIcWz8k/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Vermont,
DRTC Advisors Essex,#," Park St, Essex Junction, VT 05452",Essex, Vermont,(855) 420-5890,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
Covered Bridge,http://www.covered-bridge.org/," 184 Pearl St, St Johnsbury, VT 05819",St. Johnsbury, Vermont,(802) 748-6948,5,4.8,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
BAART Programs Berlin,https://baartprograms.com/baart-berlin-2/," 617 Comstock Rd Suite 5, Berlin, VT 05602",Berlin, Vermont,(802) 223-2003,19,4.1,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
Treatment Associates LLC,http://www.treatmentassociatesinc.com/," 560 Railroad St, St Johnsbury, VT 05819",St. Johnsbury, Vermont,Not Available,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
Brattleboro Retreat,http://www.brattlebororetreat.org/," 1 Anna Marsh Ln, Brattleboro, VT 05302",Brattleboro, Vermont,(802) 257-7785,79,2.6,https://lh5.googleusercontent.com/-fglYDUl66io/AAAAAAAAAAI/AAAAAAAAAAA/VNbURLqNGEY/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Vermont,
"Evidence Based Solutions, LLC",http://metcbtplus.com/," 4 Emmons St, Montpelier, VT 05601",Montpelier, Vermont,(802) 233-6660,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
Addiction Help Vt,http://addictionhelpvt.com/narcan-distribution-locations/," 1091 Hospital Dr, St Johnsbury, VT 05819",St. Johnsbury, Vermont,(802) 748-9061,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
BAART Programs St. Albans,https://baartprograms.com/baart-st-albans/," 242 S Main St, St Albans City, VT 05478",St. Albans, Vermont,(802) 370-3545,6,2.2,https://lh6.googleusercontent.com/-sONIlXPKjGw/AAAAAAAAAAI/AAAAAAAAAAA/Tp4YHIcWz8k/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Vermont,
Sunset House,#," 511 Sand Hill Rd, Castleton, VT 05735",Castleton, Vermont,(802) 671-8088,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
Brattleboro Retreat,http://www.brattlebororetreat.org/," 1 Anna Marsh Ln, Brattleboro, VT 05302",Brattleboro, Vermont,(802) 257-7785,79,2.6,https://lh5.googleusercontent.com/-fglYDUl66io/AAAAAAAAAAI/AAAAAAAAAAA/VNbURLqNGEY/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Vermont,
Health Care and Rehabilitation Services,http://www.hcrs.org/," 1 Hospital Ct, Bellows Falls, VT 05101",Rockingham, Vermont,(802) 463-3947,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
Burlington Suboxone Doctors,#," 10 East St Suite 1, Winooski, VT 05404",Winooski, Vermont,(802) 307-1843,Not Available,Not Available,https://lh3.googleusercontent.com/-T9zdsx2FImg/AAAAAAAAAAI/AAAAAAAAAAA/xLQdViRHbCo/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Vermont,
SaVida Health St. Albans,https://savidahealth.com/opioid-addiction-treatment-st-albans-vt-suboxone-doctors/," 17 Catherine St, St Albans City, VT 05478",St. Albans, Vermont,(802) 528-1500,Not Available,Not Available,https://lh4.googleusercontent.com/-lsRi63LCqs8/AAAAAAAAAAI/AAAAAAAAAAA/0K8XX9euKCI/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Vermont,
Alcoholics Anonymous,http://www.aa.org/," Springfield, VT 05156",Springfield, Vermont,(802) 885-8281,1,5.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
Conifer Park,http://www.coniferpark.com/plattsburgh-outpatient-clinic," 80 Sharron Ave Ste 2, Plattsburgh, NY 12901",Plattsburgh, New York,(518) 561-0130,8,3.4,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
Groups Recover Together,https://locations.joingroups.com/nh/lebanon/groups-recover-together-lebanon-nh-grt003.html," 31 Hanover St, Lebanon, NH 03766",Lebanon, New Hampshire,(603) 331-4804,1,5.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
West Lebanon Comprehensive Treatment Center,https://www.ctcprograms.com/location/west-lebanon-comprehensive-treatment-center/," 254 N Plainfield Rd #4, West Lebanon, NH 03784",Lebanon, New Hampshire,(802) 478-7882,Not Available,Not Available,https://lh6.googleusercontent.com/-AhWceISfvyE/AAAAAAAAAAI/AAAAAAAAAAA/0kbp7ONjuy8/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Vermont,
St Joseph's Rehabilitation Center,http://www.stjoestreatment.org/," 50 Montcalm St, Ticonderoga, NY 12883",Ticonderoga, New York,(518) 585-7934,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
Meadowview Recovery Residence,http://www.hcrs.org/adult-services/residential-services-division/meadowview-recovery-residence.php," 330 Linden St, Brattleboro, VT 05301",Brattleboro, Vermont,(802) 275-4971,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
Eagle Eye Farm,#," 3014 Abbott Hill Rd, West Burke, VT 05871",Newark, Vermont,(802) 723-9800,1,5.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Vermont,
